PROBLEM;BINARY;ITERATION;TIME;MEMORY;SENSORS_NUMBER
Space_Invaders_Planner2;dlv2;15;0,07;1012;122
Space_Invaders_Planner2;dlv2;16;0,07;1016;122
Space_Invaders_Planner2;dlv2;17;0,07;1012;122
Space_Invaders_Planner2;dlv2;18;0,07;1012;122
Space_Invaders_Planner2;dlv2;19;0,07;1016;122
Space_Invaders_Planner2;dlv2;20;0,07;1012;122
Space_Invaders_Planner2;dlv2;21;0,07;1012;122
Space_Invaders_Planner2;dlv2;22;0,05;1016;125
Space_Invaders_Planner2;dlv2;23;0,05;1016;125
Space_Invaders_Planner2;dlv2;24;0,05;1012;125
Space_Invaders_Planner2;dlv2;25;0,05;1012;125
Space_Invaders_Planner2;dlv2;26;0,05;1016;125
Space_Invaders_Planner2;dlv2;27;0,06;1016;122
Space_Invaders_Planner2;dlv2;28;0,07;1016;120
Space_Invaders_Planner2;dlv2;29;0,05;1012;123
Space_Invaders_Planner2;dlv2;30;0,05;1012;123
Space_Invaders_Planner2;dlv2;31;0,05;1012;123
Space_Invaders_Planner2;dlv2;32;0,05;1012;123
Space_Invaders_Planner2;dlv2;33;0,05;1012;123
Space_Invaders_Planner2;dlv2;34;0,05;1012;121
Space_Invaders_Planner2;dlv2;35;0,05;1016;121
Space_Invaders_Planner2;dlv2;36;0,07;1012;118
Space_Invaders_Planner2;dlv2;37;0,07;1016;118
Space_Invaders_Planner2;dlv2;38;0,05;1012;121
Space_Invaders_Planner2;dlv2;39;0,07;1016;118
Space_Invaders_Planner2;dlv2;40;0,07;1016;118
Space_Invaders_Planner2;dlv2;41;0,05;1012;121
Space_Invaders_Planner2;dlv2;42;0,08;1016;118
Space_Invaders_Planner2;dlv2;43;0,07;1012;118
Space_Invaders_Planner2;dlv2;44;0,05;1016;121
Space_Invaders_Planner2;dlv2;45;0,05;1012;121
Space_Invaders_Planner2;dlv2;46;0,06;1012;121
Space_Invaders_Planner2;dlv2;47;0,06;1012;121
Space_Invaders_Planner2;dlv2;48;0,05;1016;121
Space_Invaders_Planner2;dlv2;49;0,07;1012;116
Space_Invaders_Planner2;dlv2;50;0,07;1016;116
Space_Invaders_Planner2;dlv2;51;0,05;1012;119
Space_Invaders_Planner2;dlv2;52;0,05;1012;119
Space_Invaders_Planner2;dlv2;53;0,06;1012;119
Space_Invaders_Planner2;dlv2;54;0,05;1012;119
Space_Invaders_Planner2;dlv2;55;0,05;1012;119
Space_Invaders_Planner2;dlv2;56;0,05;1012;119
Space_Invaders_Planner2;dlv2;57;0,07;1012;114
Space_Invaders_Planner2;dlv2;58;0,07;1016;114
Space_Invaders_Planner2;dlv2;59;0,05;1012;117
Space_Invaders_Planner2;dlv2;60;0,05;1016;117
Space_Invaders_Planner2;dlv2;61;0,05;1016;117
Space_Invaders_Planner2;dlv2;62;0,06;1012;117
Space_Invaders_Planner2;dlv2;63;0,05;1012;117
Space_Invaders_Planner2;dlv2;64;0,05;1012;117
Space_Invaders_Planner2;dlv2;65;0,05;1012;117
Space_Invaders_Planner2;dlv2;66;0,06;1012;112
Space_Invaders_Planner2;dlv2;67;0,07;1012;112
Space_Invaders_Planner2;dlv2;68;0,05;1012;115
Space_Invaders_Planner2;dlv2;69;0,05;1012;115
Space_Invaders_Planner2;dlv2;70;0,05;1016;115
Space_Invaders_Planner2;dlv2;71;0,05;1012;115
Space_Invaders_Planner2;dlv2;72;0,05;1012;115
Space_Invaders_Planner2;dlv2;73;0,05;1012;115
Space_Invaders_Planner2;dlv2;74;0,07;1016;110
Space_Invaders_Planner2;dlv2;75;0,07;1016;110
Space_Invaders_Planner2;dlv2;76;0,05;1016;113
Space_Invaders_Planner3;dlv2;1;0,05;1012;60
Space_Invaders_Planner3;dlv2;2;0,04;1012;63
Space_Invaders_Planner3;dlv2;3;0,04;1016;63
Space_Invaders_Planner3;dlv2;4;0,04;1016;63
Space_Invaders_Planner3;dlv2;5;0,06;1016;60
Space_Invaders_Planner3;dlv2;6;0,06;1012;58
Space_Invaders_Planner3;dlv2;7;0,06;1012;58
Space_Invaders_Planner3;dlv2;8;0,04;1012;61
Space_Invaders_Planner3;dlv2;9;0,07;1016;58
Space_Invaders_Planner3;dlv2;10;0,06;1012;58
Space_Invaders_Planner3;dlv2;11;0,06;1012;58
Space_Invaders_Planner3;dlv2;12;0,06;1012;58
Space_Invaders_Planner3;dlv2;13;0,06;1016;58
Space_Invaders_Planner3;dlv2;14;0,06;1012;58
Space_Invaders_Planner3;dlv2;15;0,06;1012;58
Space_Invaders_Planner3;dlv2;16;0,06;1012;58
Space_Invaders_Planner3;dlv2;17;0,04;1016;61
Space_Invaders_Planner3;dlv2;18;0,05;1012;61
Space_Invaders_Planner3;dlv2;19;0,05;1012;61
Space_Invaders_Planner3;dlv2;20;0,04;1012;61
Space_Invaders_Planner3;dlv2;21;0,04;1016;61
Space_Invaders_Planner3;dlv2;22;0,04;1016;61
Space_Invaders_Planner3;dlv2;23;0,05;1012;61
Space_Invaders_Planner3;dlv2;24;0,05;1012;61
Space_Invaders_Planner3;dlv2;25;0,05;1012;61
Space_Invaders_Planner3;dlv2;26;0,05;1012;61
Space_Invaders_Planner3;dlv2;27;0,04;1012;61
Space_Invaders_Planner3;dlv2;28;0,06;1012;58
Space_Invaders_Planner3;dlv2;29;0,04;1012;61
Space_Invaders_Planner3;dlv2;30;0,04;1012;61
Space_Invaders_Planner3;dlv2;31;0,04;1012;61
Space_Invaders_Planner3;dlv2;32;0,05;1012;61
Space_Invaders_Planner3;dlv2;33;0,06;1016;56
Space_Invaders_Planner3;dlv2;34;0,05;1012;56
Space_Invaders_Planner3;dlv2;35;0,06;1012;56
